类型,链接,标题,内容
Definition,https://statproofbook.github.io//D/lf,Likelihood function,
Definition,https://statproofbook.github.io//D/prior,Prior distribution,
Definition,https://statproofbook.github.io//D/fpm,Full probability model,
Definition,https://statproofbook.github.io//D/jl,Joint likelihood,
Proof,https://statproofbook.github.io//P/jl-lfnprior,Joint likelihood is product of likelihood and prior,
Definition,https://statproofbook.github.io//D/post,Posterior distribution,
Proof,https://statproofbook.github.io//P/post-jl,Posterior density is proportional to joint likelihood,
Definition,https://statproofbook.github.io//D/ml,Marginal likelihood,
Proof,https://statproofbook.github.io//P/ml-jl,Marginal likelihood is integral of joint likelihood,
Definition,https://statproofbook.github.io//D/prior-flat,Flat vs. hard vs. soft,
Definition,https://statproofbook.github.io//D/prior-uni,Uniform vs. non-uniform,
Definition,https://statproofbook.github.io//D/prior-inf,Informative vs. non-informative,
Definition,https://statproofbook.github.io//D/prior-emp,Empirical vs. non-empirical,
Definition,https://statproofbook.github.io//D/prior-conj,Conjugate vs. non-conjugate,
Definition,https://statproofbook.github.io//D/prior-maxent,Maximum entropy priors,
Definition,https://statproofbook.github.io//D/prior-eb,Empirical Bayes priors,
Definition,https://statproofbook.github.io//D/prior-ref,Reference priors,
Proof,https://statproofbook.github.io//P/bayes-th,Bayes’ theorem,
Proof,https://statproofbook.github.io//P/bayes-rule,Bayes’ rule,
Definition,https://statproofbook.github.io//D/eb,Empirical Bayes,
Definition,https://statproofbook.github.io//D/vb,Variational Bayes,
Definition,https://statproofbook.github.io//D/duni,Definition,
Proof,https://statproofbook.github.io//P/duni-pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/duni-cdf,Cumulative distribution function,
Proof,https://statproofbook.github.io//P/duni-qf,Quantile function,
Definition,https://statproofbook.github.io//D/bern,Definition,
Proof,https://statproofbook.github.io//P/bern-pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/bern-mean,Mean,
Proof,https://statproofbook.github.io//P/bern-var,Variance,
Proof,https://statproofbook.github.io//P/bern-varrange,Range of variance,
Proof,https://statproofbook.github.io//P/bern-ent,Shannon entropy,
Definition,https://statproofbook.github.io//D/bin,Definition,
Proof,https://statproofbook.github.io//P/bin-pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/bin-pgf,Probability-generating function,
Proof,https://statproofbook.github.io//P/bin-mean,Mean,
Proof,https://statproofbook.github.io//P/bin-var,Variance,
Proof,https://statproofbook.github.io//P/bin-varrange,Range of variance,
Proof,https://statproofbook.github.io//P/bin-ent,Shannon entropy,
Proof,https://statproofbook.github.io//P/bin-margcond,Conditional binomial,
Definition,https://statproofbook.github.io//D/betabin,Definition,
Proof,https://statproofbook.github.io//P/betabin-pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/betabin-pmfitogf,Probability mass function in terms of gamma function,
Proof,https://statproofbook.github.io//P/betabin-cdf,Cumulative distribution function,
Definition,https://statproofbook.github.io//D/poiss,Definition,
Proof,https://statproofbook.github.io//P/poiss-pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/poiss-mean,Mean,
Proof,https://statproofbook.github.io//P/poiss-var,Variance,
Definition,https://statproofbook.github.io//D/cat,Definition,
Proof,https://statproofbook.github.io//P/cat-pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/cat-mean,Mean,
Proof,https://statproofbook.github.io//P/cat-cov,Covariance,
Proof,https://statproofbook.github.io//P/cat-ent,Shannon entropy,
Definition,https://statproofbook.github.io//D/mult,Definition,
Proof,https://statproofbook.github.io//P/mult-pmf,Probability mass function,
Proof,https://statproofbook.github.io//P/mult-mean,Mean,
Proof,https://statproofbook.github.io//P/mult-cov,Covariance,
Proof,https://statproofbook.github.io//P/mult-ent,Shannon entropy,
Definition,https://statproofbook.github.io//D/cuni,Definition,
Definition,https://statproofbook.github.io//D/suni,Standard uniform distribution,
Proof,https://statproofbook.github.io//P/cuni-pdf,Probability density function,
Proof,https://statproofbook.github.io//P/cuni-cdf,Cumulative distribution function,
Proof,https://statproofbook.github.io//P/cuni-qf,Quantile function,
